일시,SIG_WAVE,MAX_WAVE
2013-01-05 08:00:00,0.9,0.7
2013-01-06 07:00:00,0.5,0.4
2013-01-07 14:00:00,0.8,0.6
2013-01-07 18:00:00,0.5,0.4
2013-01-08 00:00:00,0.6,0.5
2013-01-09 00:00:00,0.7,0.5
2013-01-10 04:00:00,1.0,0.9
2013-01-14 21:00:00,0.9,0.6
2013-01-20 23:00:00,1.0,0.7
2013-01-22 02:00:00,1.6,1.3
2013-01-24 17:00:00,0.5,0.4
2013-01-28 18:00:00,1.4,1.0
2013-01-31 23:00:00,0.8,0.6
2013-02-03 13:00:00,1.0,0.7
2013-02-04 12:00:00,0.7,0.5
2013-02-06 09:00:00,1.3,1.0
2013-02-08 13:00:00,1.8,1.3
2013-02-10 16:00:00,0.8,0.5
2013-02-13 22:00:00,0.8,0.6
2013-02-15 06:00:00,0.6,0.4
2013-02-20 04:00:00,0.7,0.5
2013-02-21 16:00:00,0.6,0.5
2013-02-22 17:00:00,0.6,0.4
2013-02-25 08:00:00,0.9,0.7
2013-02-25 12:00:00,0.9,0.7
2013-03-02 22:00:00,1.0,0.8
2013-03-04 11:00:00,1.3,1.1
2013-03-07 00:00:00,0.6,0.4
2013-03-07 08:00:00,1.3,0.9
2013-03-08 15:00:00,1.1,0.7
2013-03-10 14:00:00,2.0,1.5
2013-03-11 06:00:00,1.4,1.2
2013-03-16 05:00:00,0.6,0.4
2013-03-16 20:00:00,0.5,0.4
2013-03-20 21:00:00,1.3,1.0
2013-03-21 13:00:00,1.6,1.1
2013-03-21 21:00:00,1.1,0.8
2013-03-22 16:00:00,0.8,0.5
2013-03-26 12:00:00,0.8,0.6
2013-03-28 19:00:00,0.5,0.3
2013-03-30 17:00:00,1.3,0.9
2013-03-31 01:00:00,0.8,0.6
2013-04-01 17:00:00,1.1,0.8
2013-04-02 13:00:00,0.8,0.6
2013-04-02 16:00:00,1.1,0.8
2013-04-03 17:00:00,1.0,0.6
2013-04-08 14:00:00,1.3,0.9
2013-04-12 20:00:00,0.9,0.6
2013-04-15 05:00:00,1.3,0.9
2013-04-19 00:00:00,2.2,1.6
2013-04-24 20:00:00,0.9,0.7
2013-04-27 14:00:00,0.7,0.5
2013-04-28 12:00:00,0.4,0.3
2013-05-01 13:00:00,1.3,1.0
2013-05-03 05:00:00,0.9,0.6
2013-05-03 13:00:00,1.0,0.8
2013-05-07 16:00:00,2.2,1.3
2013-05-13 04:00:00,0.6,0.4
2013-05-13 21:00:00,0.6,0.4
2013-05-14 15:00:00,0.6,0.4
2013-05-15 02:00:00,0.4,0.3
2013-05-15 23:00:00,1.8,1.3
2013-05-16 15:00:00,1.5,1.1
2013-05-18 04:00:00,1.1,0.8
2013-05-19 09:00:00,1.2,0.9
2013-05-20 04:00:00,0.8,0.6
2013-06-09 12:00:00,1.9,1.4
2013-07-02 09:00:00,1.0,0.7
2013-07-06 09:00:00,1.3,1.0
2013-07-20 12:00:00,0.5,0.4
2013-07-29 02:00:00,0.8,0.6
2013-08-05 19:00:00,0.4,0.3
2013-08-11 04:00:00,0.5,0.4
2013-08-13 12:00:00,0.3,0.2
2013-08-22 13:00:00,0.8,0.6
2013-09-05 11:00:00,1.3,1.0
2013-10-11 18:00:00,1.1,0.7
2013-10-27 16:00:00,0.8,0.6
2013-11-16 20:00:00,0.5,0.4
