일시,MAX_WAVE,SIG_WAVE
2011-12-04 12:00:00,1.8,0.7
2011-12-13 20:00:00,0.8,0.5
2011-12-29 16:00:00,0.7,0.4
2011-12-29 19:00:00,0.9,0.5
2011-12-29 22:00:00,1.1,0.7
2011-12-30 02:00:00,1.7,1.1
2011-12-30 03:00:00,1.5,1.1
2011-12-30 04:00:00,1.8,1.2
2011-12-30 10:00:00,1.9,1.1
2011-12-30 12:00:00,2.0,1.3
2011-12-30 14:00:00,1.9,1.3
2011-12-30 17:00:00,1.8,1.2
2011-12-30 20:00:00,1.6,1.1
2011-12-31 00:00:00,1.5,0.9
